UID	TCID	QUID	Reaction	Evalue	Identity
P0A334	1.A.1.1.1	P31069	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103'), ('water  = water', 'CHEBI:15377 = CHEBI:15377')]	1.97e-06	47.5
P31069	1.A.1.13.1	P31069	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103')]	0.0	100.0
I0XVQ9	1.A.1.5.31	P0ACJ8	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103'), ('inorganic cation  = inorganic cation', 'CHEBI:36915 = CHEBI:36915')]	7.81e-09	41.25
P76298	1.A.104.1.1	Q47153	[('no_reaction_identified', 'no_reaction_identified')]	4.1499999999999996e-136	40.885
P76298	1.A.104.1.1	P76298	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
NCD33588.1	1.A.104.1.2	P76298	[('no_reaction_identified', 'no_reaction_identified')]	8.08e-175	40.778
WP_005673529.1	1.A.104.1.3	P76298	[('no_reaction_identified', 'no_reaction_identified')]	0.0	54.964
WP_189658242.1	1.A.104.1.4	Q47153	[('no_reaction_identified', 'no_reaction_identified')]	4.8e-158	43.805
WP_189658242.1	1.A.104.1.4	P76298	[('no_reaction_identified', 'no_reaction_identified')]	0.0	53.949
P69681	1.A.11.1.1	P69681	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
AEJ03821.1	1.A.11.1.10	P69681	[('no_reaction_identified', 'no_reaction_identified')]	1.57e-125	52.723
Q79VF1	1.A.11.1.3	P69681	[('no_reaction_identified', 'no_reaction_identified')]	1.32e-83	40.749
O67997	1.A.11.1.4	P69681	[('no_reaction_identified', 'no_reaction_identified')]	3.73e-120	51.25
O66515	1.A.11.1.5	P69681	[('no_reaction_identified', 'no_reaction_identified')]	1.63e-104	43.914
Q8DSV1	1.A.11.1.9	P69681	[('no_reaction_identified', 'no_reaction_identified')]	1.82e-94	42.432
P0AE45	1.A.112.2.11	P0AE45	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
W9BK01	1.A.112.2.12	P0AE45	[('no_reaction_identified', 'no_reaction_identified')]	0.0	91.236
P37908	1.A.112.2.5	P37908	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
SES26846.1	1.A.112.2.7	P37908	[('no_reaction_identified', 'no_reaction_identified')]	8.6e-154	50.369
P0ACA3	1.A.12.3.1	P0ACA3	[('no_reaction_identified', 'no_reaction_identified')]	5.03e-159	100.0
B7LBF5	1.A.12.3.2	P77544	[('no_reaction_identified', 'no_reaction_identified')]	8.900000000000001e-160	100.0
P76481	1.A.13.2.3	P76481	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
VIP05124.1	1.A.13.2.4	P76481	[('no_reaction_identified', 'no_reaction_identified')]	8.780000000000001e-132	43.908
P0AAC6	1.A.14.2.1	P0AAC6	[('no_reaction_identified', 'no_reaction_identified')]	1.19e-154	100.0
P0AAC4	1.A.14.2.2	P0AAC4	[('no_reaction_identified', 'no_reaction_identified')]	9.23e-168	100.0
B7LC70	1.A.14.2.4	P75769	[('no_reaction_identified', 'no_reaction_identified')]	4.19e-157	91.561
B0CIK0	1.A.14.2.7	P0AAC4	[('no_reaction_identified', 'no_reaction_identified')]	8.459999999999999e-61	48.927
P0AC23	1.A.16.1.1	P77733	[('formate = formate', 'CHEBI:15740 = CHEBI:15740')]	4.2599999999999994e-95	50.355
P0AC23	1.A.16.1.1	P0AC23	[('formate = formate', 'CHEBI:15740 = CHEBI:15740')]	0.0	100.0
P77733	1.A.16.1.2	P77733	[('formate = formate', 'CHEBI:15740 = CHEBI:15740')]	0.0	100.0
P77733	1.A.16.1.2	P0AC23	[('formate = formate', 'CHEBI:15740 = CHEBI:15740')]	4.3e-95	50.355
F9A868	1.A.16.1.3	P77733	[('no_reaction_identified', 'no_reaction_identified')]	2.0100000000000002e-73	42.751
F9A868	1.A.16.1.3	P0AC23	[('no_reaction_identified', 'no_reaction_identified')]	3.3100000000000002e-105	54.307
P0AC26	1.A.16.3.1	P0AC26	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
Q186B7	1.A.16.3.3	P0AC26	[('no_reaction_identified', 'no_reaction_identified')]	8.209999999999999e-54	40.84
K6JRX1	1.A.16.3.4	P0AC26	[('no_reaction_identified', 'no_reaction_identified')]	8.449999999999999e-176	88.764
P37327	1.A.16.4.1	P37327	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
P0A742	1.A.22.1.1	P0A742	[('no_reaction_identified', 'no_reaction_identified')]	6.739999999999999e-95	100.0
P94585	1.A.22.1.3	P0A742	[('no_reaction_identified', 'no_reaction_identified')]	2.63e-24	57.364
Q2KCQ1	1.A.22.1.4	P0A742	[('no_reaction_identified', 'no_reaction_identified')]	1.71e-26	42.254
P68805	1.A.22.1.5	P0A742	[('no_reaction_identified', 'no_reaction_identified')]	6.07e-32	47.328
Q5N075	1.A.22.1.7	P0A742	[('no_reaction_identified', 'no_reaction_identified')]	9.509999999999999e-23	40.164
B1MZU9	1.A.22.1.8	P0A742	[('no_reaction_identified', 'no_reaction_identified')]	1.19e-25	42.105
A9WMF7	1.A.22.1.9	P0A742	[('no_reaction_identified', 'no_reaction_identified')]	1.17e-22	40.876
P77338	1.A.23.1.1	P77338	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
Q9EV03	1.A.23.1.2	P39285	[('no_reaction_identified', 'no_reaction_identified')]	0.0	68.073
P39285	1.A.23.1.3	P39285	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
